# OMNI 1-min, GSM, time-shifted to bow shock nose
# yr mo dy hr mn sc msec  Bx[nT] By[nT] Bz[nT]  Vx[km/s] Vy[km/s] Vz[km/s]  N[/cc] T[K]
#START
2015  3 16  1  8 00 000    3.280   -2.950   -0.530   -319.00      5.00     11.30  33.050     41182.0
2015  3 16  1  9 00 000    4.100   -2.990   -0.200   -322.20     -9.70     19.40  27.380     42390.0
2015  3 16  1 10 00 000    4.070    0.980   -1.040   -322.10     -3.20     14.90  28.720     51791.0
2015  3 16  1 11 00 000    3.320    0.320   -1.520   -319.60      9.60      8.40  33.720     48224.0
2015  3 16  1 12 00 000    3.410    1.800   -1.120   -317.30     21.10      2.50  38.230     45024.0
2015  3 16  1 14 00 000    3.630    0.580   -0.840   -317.10     21.40      1.30  37.530     43778.0
2015  3 16  1 15 00 000    4.110    1.090   -0.550   -319.40     20.20      0.80  36.740     44542.0
2015  3 16  1 16 00 000    3.820   -0.070    0.300   -328.10     15.80     -1.00  33.770     47398.0
2015  3 16  1 17 00 000    4.380    2.170   -0.680   -317.50     18.60      0.00  37.510     50696.0
2015  3 16  1 18 00 000    5.040    4.350   -0.920   -316.70     18.60      0.30  37.730     50995.0
2015  3 16  1 19 00 000    4.780    0.690    0.790   -325.40     -0.80     17.30  29.420     51757.0
2015  3 16  1 20 00 000    4.030   -0.140    0.410   -325.50     -0.90     17.40  29.350     51762.0
2015  3 16  1 21 00 000    4.970    4.350   -1.040   -319.00     20.50      2.80  33.340     42294.0
2015  3 16  1 22 00 000    3.600    0.590   -0.450   -319.00     20.50      2.80  33.340     42294.0
2015  3 16  1 24 00 000    5.820   -0.900    2.030   -326.60     13.10     -1.90  34.220     48831.0
2015  3 16  1 25 00 000    3.450   -4.130   -0.890   -325.20      4.40      5.00  30.980     49557.0
2015  3 16  1 26 00 000    3.200   -2.180    0.270   -323.00      1.80      4.40  29.560     47146.0
2015  3 16  1 27 00 000    3.710   -1.760   -0.140   -323.20     13.40      6.40  33.890     46749.0
2015  3 16  1 28 00 000    4.000   -2.180    0.090   -326.60      2.30      5.50  35.920     43551.0
2015  3 16  1 29 00 000    4.530   -0.480   -0.160   -322.80     16.50      8.20  32.230     42587.0
2015  3 16  1 30 00 000    4.760    1.660    0.500   -322.80     16.90      7.90  32.470     43284.0
2015  3 16  1 31 00 000    4.070    1.190    0.170   -323.10     20.80      0.60  37.640     57471.0
2015  3 16  1 32 00 000    4.010    0.970    0.040   -324.30     16.20     -0.40  36.630     50957.0
2015  3 16  1 33 00 000    3.510    1.430   -0.940   -318.90     24.90      4.20  38.690     47781.0
2015  3 16  1 34 00 000    4.090    1.090   -0.020   -322.40     14.40      4.00  38.400     49388.0
2015  3 16  1 35 00 000    2.560    0.070   -1.840   -326.40      6.00      2.20  37.210     45268.0
2015  3 16  1 36 00 000    2.960    0.160   -1.500   -328.60     10.10     -1.80  35.540     47879.0
2015  3 16  1 37 00 000    0.320    3.010   -3.210   -330.50     11.30     -3.20  36.600     42377.0
2015  3 16  1 38 00 000    2.200    1.340   -1.970   -328.80     10.50     -1.10  36.610     43645.0
2015  3 16  1 39 00 000    2.550    5.800   -2.640   -325.20     12.60      1.50  35.540     46510.0
2015  3 16  1 41 00 000    5.750    2.910    6.040   -319.30     25.10      8.60  38.620     50042.0
2015  3 16  1 42 00 000    5.330    2.730    6.090   -319.30     25.10      8.60  38.620     50042.0
2015  3 16  1 43 00 000    5.210    2.850    6.030   -321.00     25.80      8.30  38.300     47976.0
2015  3 16  1 44 00 000    5.150    2.820    6.360   -321.00     25.80      8.30  38.300     47976.0
2015  3 16  1 45 00 000    4.320    0.350    5.270   -321.00     25.80      8.30  38.300     47976.0
2015  3 16  1 46 00 000    4.820    1.670    7.050   -327.40     18.60      4.70  34.990     57654.0
2015  3 16  1 47 00 000    4.290    0.070    7.900   -327.40     18.60      4.70  34.990     57654.0
2015  3 16  1 48 00 000    4.540    0.330    7.280   -327.40     18.60      4.70  34.990     57654.0
2015  3 16  1 49 00 000    4.440    2.240    6.730   -323.90     24.70     10.90  35.700     42614.0
2015  3 16  1 50 00 000    4.240    2.290    6.530   -323.90     24.70     10.90  35.700     42614.0
2015  3 16  1 51 00 000    3.790    0.850    6.260   -323.90     24.70     10.90  35.700     42614.0
2015  3 16  1 53 00 000    3.870    0.410    5.880   -324.80     22.40     13.10  41.970     48146.0
2015  3 16  1 54 00 000    3.840    0.270    6.050   -324.80     22.40     13.10  41.970     48146.0
2015  3 16  1 57 00 000    3.790    3.740    5.860   -327.20     24.50      7.80  41.340     43583.0
2015  3 16  1 58 00 000    3.690    3.030    5.720   -327.20     24.50      7.80  41.340     43583.0
2015  3 16  1 59 00 000    3.580    2.800    5.600   -327.20     24.50      7.80  41.340     43583.0
2015  3 16  2  1 00 000    3.960    1.680    5.530   -325.30     26.00     11.30  43.640     47297.0
2015  3 16  2  2 00 000    3.970    2.340    5.710   -325.30     26.00     11.30  43.640     47297.0
2015  3 16  2  3 00 000    3.910    3.110    5.690   -325.30     26.00     11.30  43.640     47297.0
2015  3 16  2  5 00 000    3.320   -0.440    7.160   -326.50     19.20     17.00  40.200     48900.0
2015  3 16  2  6 00 000    3.900   -0.180    7.210   -327.20     18.00     15.70  40.590     51365.0
2015  3 16  2  7 00 000    3.260   -0.930    6.890   -328.10     17.60     14.20  42.240     51415.0
2015  3 16  2  8 00 000    2.690   -1.480    6.790   -328.60     18.20     13.10  43.520     49838.0
2015  3 16  2  9 00 000    2.690   -3.100    5.800   -329.60     20.10     11.10  43.830     48728.0
2015  3 16  2 10 00 000    2.690   -1.750    6.700   -330.50     16.70     11.40  44.550     49701.0
2015  3 16  2 11 00 000    2.850    0.720    6.450   -329.60     18.50     10.90  45.560     47282.0
2015  3 16  2 12 00 000    3.760    1.210    4.930   -328.50     20.70     10.00  47.050     45147.0
2015  3 16  2 13 00 000    3.970    4.090    2.440   -328.40     22.60      6.20  51.410     47771.0
2015  3 16  2 14 00 000    3.390    4.360    2.140   -329.80     23.30     -0.00  49.740     47523.0
2015  3 16  2 15 00 000    2.740    5.100    0.660   -330.30     23.60     -2.30  49.130     47432.0
2015  3 16  2 16 00 000    0.960    3.900   -1.660   -333.70     16.80      0.30  47.130     49764.0
2015  3 16  2 17 00 000    0.980    4.860   -2.320   -333.70     16.80      0.30  47.140     49742.0
2015  3 16  2 18 00 000    2.880    4.050    2.230   -332.20     18.40      5.40  49.710     42486.0
2015  3 16  2 19 00 000    2.850    4.330    2.000   -332.50     17.60      4.00  49.820     41990.0
2015  3 16  2 20 00 000    1.950    2.530    1.060   -333.00     16.60      2.20  49.950     41340.0
