altitude_km,f107_sfu,ap,density_kg_m3,temperature_K,scale_height_km,mean_molecular_mass_kg,total_number_density,n2_number_density,o2_number_density,no_number_density,o_number_density,n_number_density,he_number_density,h_number_density,source,seed_nrho_m3,seed_temp_K
200,100,10,9.443958819733399e-10,830.0,,3.970761863535507e-26,2.3783745145886536e+16,1.3133462344994122e+16,1910321795635508.2,23879022445443.855,8596448080359787.0,95516089781775.42,23879022445443.855,238790224454.43857,msis_bootstrap,2.3783745145886536e+16,830.0
200,100,100,9.443958819733399e-10,1100.0,,3.970761863535507e-26,2.3783745145886536e+16,1.3133462344994122e+16,1910321795635508.2,23879022445443.855,8596448080359787.0,95516089781775.42,23879022445443.855,238790224454.43857,msis_bootstrap,2.3783745145886536e+16,1100.0
200,200,10,9.443958819733399e-10,1030.0,,3.970761863535507e-26,2.3783745145886536e+16,1.3133462344994122e+16,1910321795635508.2,23879022445443.855,8596448080359787.0,95516089781775.42,23879022445443.855,238790224454.43857,msis_bootstrap,2.3783745145886536e+16,1030.0
200,200,100,9.443958819733399e-10,1300.0,,3.970761863535507e-26,2.3783745145886536e+16,1.3133462344994122e+16,1910321795635508.2,23879022445443.855,8596448080359787.0,95516089781775.42,23879022445443.855,238790224454.43857,msis_bootstrap,2.3783745145886536e+16,1300.0
