# OMNI 1-min, GSM, time-shifted to bow shock nose
# yr mo dy hr mn sc msec  Bx[nT] By[nT] Bz[nT]  Vx[km/s] Vy[km/s] Vz[km/s]  N[/cc] T[K]
#START
2024  5 10 14  1 00 000   -3.030   -0.090    0.290   -410.70     -0.70    -13.10   2.990    120275.0
2024  5 10 14  2 00 000   -2.700    0.200    1.130   -403.10      7.50    -13.70   3.100     94956.0
2024  5 10 14  3 00 000   -2.480   -0.210    0.980   -401.10      9.30    -13.80   3.110     87316.0
2024  5 10 14  5 00 000   -2.820   -0.190    1.540   -410.20     -2.00    -32.50   3.310     90798.0
2024  5 10 14  6 00 000   -2.800   -0.420    1.520   -410.60     -1.10    -32.10   3.310     93355.0
2024  5 10 14  7 00 000   -3.060   -0.390   -0.000   -412.40      2.90    -30.40   3.300    104850.0
2024  5 10 14  8 00 000   -3.080   -0.430    0.140   -405.00      3.30    -21.60   3.200    116310.0
2024  5 10 14 10 00 000   -3.120    0.270   -0.700   -407.90     10.00     -8.90   3.550    115483.0
2024  5 10 14 11 00 000   -3.040    0.290    1.920   -407.90     10.00     -8.90   3.550    115483.0
2024  5 10 14 14 00 000   -3.270    0.890    1.120   -409.10     -7.90    -29.30   3.830    109999.0
2024  5 10 14 15 00 000   -3.090    0.890    1.500   -409.10     -7.90    -29.20   3.830    109856.0
2024  5 10 14 16 00 000   -3.020    1.610    0.450   -409.30     -4.30    -23.80   3.620     94552.0
2024  5 10 14 17 00 000   -3.020    1.560    0.210   -409.30     -3.70    -22.90   3.590     92162.0
2024  5 10 14 28 00 000   -3.090    1.620    0.440   -407.60    -16.40    -17.70   3.580    111864.0
2024  5 10 14 29 00 000   -3.140    1.480    0.580   -407.60    -16.40    -17.70   3.580    111864.0
2024  5 10 14 31 00 000   -2.960    1.350    0.800   -409.10    -14.10    -27.20   3.840    140789.0
2024  5 10 14 32 00 000   -3.230    1.120    0.350   -409.10    -14.10    -27.20   3.840    140789.0
2024  5 10 14 34 00 000   -3.220    0.970    0.660   -406.90     -7.20     -8.60   3.470    101750.0
2024  5 10 14 35 00 000   -3.150    1.350    0.610   -406.90     -7.20     -8.60   3.470    101750.0
2024  5 10 14 36 00 000   -2.470    1.430    1.270   -406.90     -7.20     -8.60   3.470    101750.0
2024  5 10 14 39 00 000   -2.010    1.230    0.960   -429.00    -11.40     26.10   3.820    244874.0
2024  5 10 14 40 00 000   -2.060    1.470    0.680   -429.00    -11.40     26.10   3.820    244874.0
2024  5 10 14 41 00 000   -2.490    1.420    0.150   -429.00    -11.40     26.10   3.820    244874.0
2024  5 10 14 50 00 000   -2.370    1.550    0.860   -415.30     -2.60    -15.70   3.090    130591.0
2024  5 10 14 51 00 000   -2.460    1.470    0.300   -415.30     -2.60    -15.70   3.090    130591.0
